id,AGE,GENDER,H1,C1,FHD1,FC1,H5,C5,FHD5,FC5,H8,C8,FHD8,FC8,H11,C11,FHD11,FC11,H14,C14,FHD14,FC14,H15,C15,FHD15,FC15,H18,C18,FHD18,FC18,H20,C20,FHD20,FC20
6,34,2,3,2,3,2,2,1,2,2,1,3,1,3,1,2,1,2,1,3,1,2,5,3,5,3,5,2,5,2,1,2,1,2
13,55,1,4,3,4,3,4,1,4,1,4,3,4,2,1,1,1,1,1,1,4,1,3,1,3,1,3,1,3,1,1,1,1,1
17,27,1,4,1,2,2,5,1,5,1,5,1,5,1,2,1,2,1,4,2,4,3,3,2,5,1,3,2,3,2,1,2,2,1
19,36,2,1,1,2,1,4,1,1,1,4,1,2,1,2,1,4,1,4,1,4,1,2,1,5,1,2,1,2,1,5,1,2,1
21,23,2,4,2,4,2,5,4,5,3,3,2,4,2,3,1,2,2,2,3,2,3,2,2,2,2,2,3,2,2,1,2,2,3
22,26,1,2,4,2,4,5,1,1,4,1,2,2,2,5,1,5,1,4,2,4,2,1,1,5,3,5,4,5,4,1,1,2,2
32,26,1,2,4,2,4,4,1,1,2,1,3,1,2,4,1,4,2,4,2,4,3,5,3,5,4,3,3,3,2,5,2,2,2
33,26,1,3,1,3,2,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,3,3,1,1,1,4,1,2,1
34,25,1,4,2,2,3,2,1,1,3,1,3,1,4,2,2,4,3,1,2,2,2,3,2,5,3,4,4,4,4,3,2,2,4
36,26,1,2,3,2,3,5,1,1,3,4,3,4,3,2,1,4,1,4,2,4,1,2,2,5,3,5,3,5,3,2,4,2,4
37,43,2,1,4,1,4,5,1,5,1,4,2,2,1,4,2,4,2,4,4,4,4,3,1,5,1,1,2,1,2,4,3,4,3
38,36,1,4,3,4,3,1,2,1,4,4,4,4,2,1,1,1,1,4,1,4,4,5,1,5,3,5,4,5,4,5,1,5,1
42,55,2,4,3,4,3,1,3,1,4,1,3,1,3,4,1,4,1,4,2,4,3,5,4,5,4,3,1,3,1,5,2,5,2
44,18,2,2,2,2,3,5,2,5,3,3,1,3,2,4,2,4,3,4,2,4,2,4,3,4,2,3,2,3,2,1,2,2,2
45,59,1,1,3,2,3,4,2,1,2,4,3,2,3,1,2,4,3,4,3,4,3,1,3,5,3,3,3,2,3,1,3,2,2
48,25,1,2,1,2,3,3,1,1,3,1,1,2,3,2,1,4,2,2,1,4,2,4,2,5,4,3,2,2,2,2,1,2,4
52,33,1,2,3,2,4,2,3,1,3,1,2,1,2,4,1,4,3,5,3,5,2,3,1,5,4,5,4,5,4,5,1,2,4
53,63,2,3,2,2,4,2,4,2,4,1,3,1,3,4,3,4,3,3,4,3,4,3,1,5,3,5,3,5,3,1,2,1,3
56,25,1,4,3,4,3,1,3,1,4,5,1,5,1,2,1,2,1,3,2,3,1,1,3,1,3,5,3,5,3,5,1,2,1
58,43,2,1,1,1,3,2,1,1,4,4,3,4,3,4,1,4,2,4,2,4,3,5,4,5,4,4,4,4,4,4,1,2,3
59,33,1,2,1,2,3,4,1,1,2,1,4,1,3,4,1,4,1,5,2,5,1,5,4,5,4,5,4,5,4,4,1,2,3
62,23,1,2,1,2,2,5,1,5,1,5,3,5,3,4,2,4,3,4,3,4,3,5,3,5,4,4,3,4,3,4,2,2,3
64,32,1,4,1,2,1,5,1,1,3,1,2,2,2,3,1,4,2,5,1,4,2,3,2,5,2,4,1,2,2,2,1,2,3
68,64,2,4,1,4,1,2,3,2,3,1,2,1,1,5,1,4,1,4,2,4,2,5,4,5,4,4,2,4,1,3,2,2,2
69,36,1,4,1,2,2,4,1,1,1,1,2,1,2,4,1,4,2,4,1,4,2,5,2,5,3,3,2,5,4,2,2,2,3
71,40,2,1,3,1,3,5,1,5,1,1,4,1,4,1,3,1,3,5,3,5,3,5,3,5,4,4,2,4,1,4,3,4,3
73,39,2,4,1,4,1,1,2,1,3,5,2,5,2,4,2,4,2,5,3,5,3,2,3,2,3,1,1,1,1,4,1,4,1
79,34,1,3,1,3,1,4,1,4,1,4,1,4,1,2,1,4,1,1,1,1,1,5,3,5,4,3,2,3,1,4,1,4,1
81,68,1,4,2,2,3,1,1,1,3,5,3,4,2,4,3,4,2,3,3,3,2,3,2,5,3,4,3,4,3,4,2,2,3
82,29,2,4,2,2,2,2,2,2,2,1,3,1,3,2,1,4,1,4,2,4,3,3,3,5,2,5,2,2,2,5,1,2,2
86,33,1,4,3,4,3,5,1,1,1,1,3,1,3,5,1,4,1,3,1,4,1,3,2,5,3,3,2,3,3,5,1,2,1
90,33,1,2,1,2,3,2,3,1,3,4,4,4,4,5,1,4,1,5,3,5,3,2,3,2,3,3,3,3,3,2,4,2,4
91,22,2,4,3,4,1,1,1,1,2,5,1,2,1,5,1,4,1,4,1,4,2,2,2,5,1,1,1,1,1,2,1,2,2
92,28,2,3,3,3,3,1,3,1,2,5,1,2,1,1,2,4,3,4,3,4,3,5,3,5,3,5,3,5,3,4,1,4,1
94,24,1,5,2,2,2,4,1,1,3,4,1,3,1,1,1,1,2,4,3,4,4,3,1,5,4,3,4,3,4,3,1,2,3
96,68,2,2,3,2,3,2,2,1,3,5,3,5,2,3,3,3,2,3,3,3,2,3,3,5,4,5,4,5,4,4,2,2,3
99,26,2,4,3,2,3,4,2,4,2,5,3,5,3,1,3,1,2,1,3,1,2,1,1,1,1,4,4,4,4,1,2,1,3
102,21,AO04,4,2,2,3,4,2,1,1,4,2,2,3,3,2,3,2,4,2,4,2,4,2,4,2,4,2,4,2,1,2,2,1
106,31,1,2,4,2,4,1,1,1,3,5,2,5,2,1,1,1,1,5,1,5,1,5,2,5,3,2,2,2,2,2,2,2,3
129,20,2,3,2,3,3,5,1,1,1,1,1,1,1,5,1,4,1,5,1,4,2,3,1,5,1,3,4,3,4,4,1,2,1
130,21,2,5,4,4,4,4,4,5,4,5,4,5,4,4,4,4,4,4,4,4,4,5,1,5,4,4,4,4,4,3,4,1,4
131,21,2,4,1,2,2,1,4,1,4,5,2,2,3,2,1,4,1,4,2,4,3,5,4,5,4,4,3,4,1,4,4,2,4
132,21,2,4,1,2,3,4,1,1,3,4,2,4,2,4,1,4,2,4,2,4,3,3,2,5,3,1,2,1,1,2,3,2,4
133,23,2,2,2,2,4,4,1,1,1,2,2,2,2,4,1,4,1,4,1,4,2,5,3,5,3,4,2,2,1,3,1,2,2
135,21,AO04,4,3,4,3,2,3,2,3,5,3,5,3,3,3,3,2,3,2,3,2,3,2,5,2,4,4,4,4,5,1,2,2
136,20,2,1,4,2,3,3,1,1,1,1,4,1,3,5,1,4,1,4,3,4,1,3,1,5,1,1,1,2,1,4,1,4,1
137,21,2,3,1,2,3,4,2,1,2,4,2,4,2,3,1,4,1,5,3,5,3,2,3,5,3,5,3,5,3,2,3,2,4
138,21,2,3,1,3,3,4,1,1,2,4,3,4,3,3,2,3,2,4,2,4,3,5,4,5,4,5,1,5,1,4,2,2,2
139,21,2,4,2,2,3,4,2,1,3,5,1,2,1,2,2,4,2,1,2,4,2,2,3,5,3,3,3,2,3,2,2,2,2
140,21,2,4,3,4,2,4,2,1,1,1,3,1,3,1,1,1,1,4,2,4,2,5,4,5,4,5,2,5,2,2,3,2,4
141,22,2,1,2,2,3,4,1,1,1,1,4,1,4,4,2,4,2,4,4,4,4,2,3,5,2,3,4,3,4,1,1,1,1
142,25,2,4,3,4,2,4,1,1,2,5,2,5,1,1,1,1,1,4,3,4,3,2,3,2,2,3,3,3,3,2,2,2,3
143,22,2,4,2,2,3,4,1,1,3,5,2,2,1,1,1,4,1,3,2,4,3,1,2,5,2,1,2,2,1,5,2,2,2
144,21,1,3,2,3,2,2,2,1,3,1,3,1,3,4,3,4,3,5,4,5,3,3,2,5,1,3,4,3,4,1,1,2,3
145,22,2,4,2,2,3,1,3,1,4,1,1,2,2,2,1,4,1,4,1,4,2,3,2,5,3,2,3,2,3,4,1,2,2
146,21,2,5,4,5,4,4,2,4,1,4,3,4,4,2,2,2,2,1,3,1,3,5,4,5,4,3,4,3,4,1,2,2,2
147,24,2,4,1,2,1,4,1,4,1,5,2,5,1,1,1,1,1,4,2,1,2,2,3,5,4,5,3,5,3,5,3,5,2
148,26,2,3,1,2,1,4,1,1,2,1,2,2,2,2,2,4,2,2,3,2,1,4,3,5,1,3,1,3,1,1,2,2,2
149,21,2,1,2,2,1,2,1,1,1,2,3,2,3,1,1,4,2,5,2,4,1,2,4,5,2,1,1,2,1,2,2,2,4
150,22,2,2,2,2,3,2,1,2,1,4,2,4,3,1,1,4,1,1,3,1,3,3,3,5,3,1,1,1,1,5,2,2,3
151,21,1,5,2,5,2,2,1,1,2,1,3,1,2,3,2,4,2,5,3,5,3,2,4,5,3,3,2,3,2,4,2,2,2
152,21,1,1,1,2,3,4,2,1,2,1,2,1,1,4,1,4,3,4,3,4,4,5,4,5,4,3,3,3,3,2,4,2,4
153,21,2,1,2,1,2,4,1,1,1,1,3,1,3,4,1,4,1,1,4,4,3,5,4,5,4,4,3,4,3,3,1,2,4
154,21,2,4,2,2,2,1,1,1,2,1,3,1,2,2,3,2,2,4,3,4,3,5,4,5,4,3,4,3,3,2,3,2,3
155,21,2,1,2,2,1,1,4,1,4,5,1,2,1,5,2,5,1,4,4,4,4,3,1,3,1,1,3,1,2,2,4,2,4
156,21,2,4,3,4,2,1,3,1,4,1,2,1,2,4,2,4,3,4,3,4,3,5,4,5,4,4,1,2,1,1,2,2,3
158,21,1,3,1,3,1,2,2,2,1,2,1,2,1,3,1,3,1,4,1,4,1,2,4,2,4,4,1,4,1,2,4,2,4
159,21,1,3,1,2,3,4,1,1,2,1,3,1,3,3,1,3,1,4,2,4,2,5,3,5,4,1,2,1,2,2,4,2,4
160,20,1,4,3,2,3,2,4,1,4,1,2,1,2,4,2,1,2,5,3,5,3,2,2,2,2,3,2,3,2,5,1,2,2
161,21,2,5,2,5,2,2,1,2,1,4,1,4,1,2,2,2,2,1,3,1,2,3,3,5,3,4,3,4,3,1,3,2,2
162,21,2,4,4,4,2,1,3,1,4,1,2,1,2,4,1,4,3,4,3,4,4,5,4,5,4,4,2,4,2,1,2,2,3
163,21,2,3,2,3,1,4,2,1,2,4,3,4,3,2,1,4,1,5,2,4,2,5,4,5,4,4,3,4,3,1,2,2,2
164,22,2,4,2,2,2,5,3,1,3,4,2,4,2,3,2,3,2,3,2,3,2,2,3,5,3,5,3,5,3,4,2,2,1
166,21,1,5,1,2,2,5,3,1,4,4,1,4,1,1,2,1,1,1,3,1,3,3,1,5,3,3,2,2,2,1,2,2,3
167,21,2,1,2,1,2,1,1,1,2,5,2,5,2,1,4,1,4,1,4,1,4,4,4,4,4,4,4,4,4,1,3,1,2
168,21,1,1,2,1,2,1,1,2,1,2,2,2,3,1,1,4,1,4,3,4,3,2,3,2,2,5,2,5,2,2,3,2,4
169,44,2,2,1,2,3,2,3,1,4,5,2,2,2,5,2,5,1,5,3,5,2,3,2,5,2,3,2,3,2,2,1,2,3
170,21,2,4,2,2,2,1,2,1,1,5,2,5,2,1,2,4,2,4,2,4,2,1,2,5,2,1,3,1,3,5,2,2,1
171,21,2,3,2,2,4,4,1,1,3,1,2,1,3,2,1,4,1,4,2,4,2,2,1,5,3,3,1,3,1,2,3,2,4
172,21,2,3,2,3,2,2,1,1,1,1,2,1,2,3,3,3,3,5,3,5,3,4,3,4,2,5,3,5,3,2,3,2,3
173,21,2,5,2,2,3,2,1,1,1,4,2,4,2,1,1,4,1,4,2,4,2,5,3,5,3,4,1,4,1,5,1,2,1
174,20,2,4,1,2,2,5,1,1,1,1,1,2,1,1,2,1,2,4,2,4,2,3,1,5,1,4,2,4,2,4,3,2,3
175,21,AO05,1,1,1,2,4,2,5,1,2,1,4,3,1,1,4,1,4,1,3,3,3,3,3,3,5,4,5,4,2,2,2,2
176,21,2,3,3,3,3,5,3,4,3,1,3,1,3,1,3,2,1,5,3,5,3,5,3,5,4,3,3,3,3,4,1,2,2
177,21,2,4,2,2,3,4,3,1,3,4,3,4,2,4,2,4,2,4,2,4,3,5,4,5,4,2,2,2,2,3,2,2,4
178,21,2,3,2,3,2,2,1,1,1,2,1,2,2,5,1,5,1,5,1,5,1,2,2,5,1,5,2,5,2,5,3,5,2
179,20,2,4,1,2,3,2,3,1,4,1,2,1,2,4,1,4,1,5,3,5,2,5,3,5,4,4,1,2,1,2,3,2,4
180,22,2,4,2,4,2,1,3,2,2,1,4,1,3,1,4,1,4,4,4,4,4,4,4,4,4,4,3,4,3,2,3,2,4
181,21,1,2,2,2,3,2,2,1,2,1,2,1,2,1,2,1,2,5,3,5,2,3,3,3,2,3,3,3,2,1,3,1,2
182,21,2,4,4,4,3,4,3,1,4,4,3,4,2,4,1,4,2,4,3,4,4,5,3,5,4,4,2,4,2,1,3,2,3
183,21,1,5,2,5,2,1,2,1,2,4,3,4,3,4,3,4,3,4,3,4,3,3,2,3,2,4,2,4,3,4,3,4,3
184,26,1,4,1,2,3,5,4,1,4,5,3,5,2,2,1,4,2,5,3,5,3,2,3,2,3,5,4,5,4,2,4,2,4
185,20,2,2,3,2,4,2,1,2,1,1,3,1,3,2,2,4,3,5,4,5,3,2,4,2,4,5,4,5,4,1,4,1,4
186,21,2,5,1,2,3,3,3,4,3,5,2,5,3,2,3,2,2,2,4,2,4,2,2,5,4,4,4,4,4,1,4,2,3
187,24,1,4,1,4,1,2,3,2,1,1,3,1,1,1,1,1,1,5,2,4,2,3,1,5,1,1,2,1,2,4,1,2,1
188,21,2,4,4,4,2,4,2,4,2,1,3,1,4,4,1,4,1,1,3,1,2,5,3,5,3,3,2,3,2,1,1,1,1
189,21,2,4,4,4,2,4,4,1,2,5,1,2,1,4,4,4,4,2,1,2,3,4,3,1,3,3,2,2,4,5,1,2,2
190,21,1,2,1,2,1,5,1,1,1,1,2,1,2,4,1,4,1,1,2,1,2,5,4,5,4,3,2,3,2,4,2,4,2
191,21,2,3,4,3,4,1,4,1,4,1,2,1,2,4,2,4,2,5,4,5,4,3,1,5,1,1,1,1,1,1,1,1,1
192,22,2,4,2,2,3,1,4,1,4,1,4,1,4,5,1,5,1,5,4,5,4,3,4,5,3,5,3,5,3,2,4,2,4
193,21,2,4,2,2,2,1,2,1,3,1,1,2,1,1,2,1,1,4,2,4,2,2,2,5,3,3,3,3,3,3,1,2,2
195,23,2,4,3,2,3,1,4,1,4,1,2,1,1,3,1,4,1,4,3,4,4,5,4,5,4,4,2,4,1,2,3,2,4
196,20,2,5,2,5,2,1,3,1,4,1,1,1,2,5,1,4,1,4,3,4,3,5,4,5,4,1,3,1,3,5,2,2,3
197,21,1,1,3,1,2,3,2,3,2,5,4,5,4,5,1,5,1,4,2,4,3,2,2,5,2,4,4,4,4,3,1,2,2
199,21,1,3,2,2,3,2,1,1,2,4,1,4,1,5,2,5,1,4,1,4,1,5,3,5,3,3,3,3,3,2,3,2,3
200,20,2,4,1,2,2,4,2,1,2,1,3,1,2,1,2,4,2,1,2,1,2,1,3,5,3,5,3,5,3,2,4,2,4
201,26,1,2,3,2,3,2,1,1,1,5,2,5,2,4,1,4,2,5,4,5,3,2,2,5,4,5,4,5,4,2,2,2,3
202,21,2,4,3,4,2,2,3,2,2,4,1,2,3,5,2,4,3,4,3,4,3,5,3,5,4,5,3,5,3,5,2,2,2
